,Year,Month,India News-Based Policy Uncertainty Index
0,2003,1.0,49.281837463378906
1,2003,2.0,69.26013946533203
2,2003,3.0,113.4190673828125
3,2003,4.0,80.29344940185547
4,2003,5.0,62.984580993652344
5,2003,6.0,57.718231201171875
6,2003,7.0,63.98773956298828
7,2003,8.0,59.84916687011719
8,2003,9.0,53.425193786621094
9,2003,10.0,64.71463775634766
10,2003,11.0,40.53714370727539
11,2003,12.0,42.95920944213867
12,2004,1.0,77.31049346923828
13,2004,2.0,82.81784057617188
14,2004,3.0,24.9398250579834
15,2004,4.0,73.95040893554688
16,2004,5.0,229.63282775878906
17,2004,6.0,48.421302795410156
18,2004,7.0,47.16453170776367
19,2004,8.0,83.19059753417969
20,2004,9.0,41.46086883544922
21,2004,10.0,86.2077865600586
22,2004,11.0,50.96367645263672
23,2004,12.0,50.82652282714844
24,2005,1.0,52.306331634521484
25,2005,2.0,60.799285888671875
26,2005,3.0,38.825347900390625
27,2005,4.0,90.29830169677734
28,2005,5.0,60.122066497802734
29,2005,6.0,63.020267486572266
30,2005,7.0,66.42700958251953
31,2005,8.0,30.69375228881836
32,2005,9.0,31.904401779174805
33,2005,10.0,51.63887405395508
34,2005,11.0,33.00722122192383
35,2005,12.0,42.34654235839844
36,2006,1.0,39.990150451660156
37,2006,2.0,31.373428344726562
38,2006,3.0,32.26818084716797
39,2006,4.0,37.325069427490234
40,2006,5.0,39.5940055847168
41,2006,6.0,53.54390335083008
42,2006,7.0,72.4278793334961
43,2006,8.0,59.80984878540039
44,2006,9.0,41.711822509765625
45,2006,10.0,37.20119857788086
46,2006,11.0,85.0499038696289
47,2006,12.0,63.495506286621094
48,2007,1.0,45.91791534423828
49,2007,2.0,71.26275634765625
50,2007,3.0,50.212093353271484
51,2007,4.0,72.65432739257812
52,2007,5.0,35.189414978027344
53,2007,6.0,27.739459991455078
54,2007,7.0,35.04796600341797
55,2007,8.0,47.82679748535156
56,2007,9.0,58.0687255859375
57,2007,10.0,72.57213592529297
58,2007,11.0,56.17607879638672
59,2007,12.0,61.809478759765625
60,2008,1.0,126.77857971191406
61,2008,2.0,89.3504409790039
62,2008,3.0,175.19227600097656
63,2008,4.0,124.77665710449219
64,2008,5.0,94.38440704345703
65,2008,6.0,162.87371826171875
66,2008,7.0,193.61181640625
67,2008,8.0,92.26747131347656
68,2008,9.0,124.11170196533203
69,2008,10.0,235.1855926513672
70,2008,11.0,146.629150390625
71,2008,12.0,136.1601104736328
72,2009,1.0,105.81543731689453
73,2009,2.0,135.76495361328125
74,2009,3.0,155.9705352783203
75,2009,4.0,131.591064453125
76,2009,5.0,114.31607818603516
77,2009,6.0,98.4006118774414
78,2009,7.0,141.06748962402344
79,2009,8.0,103.87956237792969
80,2009,9.0,87.3887710571289
81,2009,10.0,85.99907684326172
82,2009,11.0,68.55941772460938
83,2009,12.0,78.48649597167969
84,2010,1.0,77.45384979248047
85,2010,2.0,129.56900024414062
86,2010,3.0,96.48685455322266
87,2010,4.0,94.16805267333984
88,2010,5.0,113.8679428100586
89,2010,6.0,151.37905883789062
90,2010,7.0,100.37033081054688
91,2010,8.0,89.10887908935547
92,2010,9.0,99.39948272705078
93,2010,10.0,88.99954223632812
94,2010,11.0,107.06229400634766
95,2010,12.0,157.4347381591797
96,2011,1.0,124.54881286621094
97,2011,2.0,144.15167236328125
98,2011,3.0,96.31920623779297
99,2011,4.0,71.0399398803711
100,2011,5.0,102.97064971923828
101,2011,6.0,105.51095581054688
102,2011,7.0,155.3404541015625
103,2011,8.0,272.87445068359375
104,2011,9.0,186.78738403320312
105,2011,10.0,222.56591796875
106,2011,11.0,224.1403350830078
107,2011,12.0,249.33888244628906
108,2012,1.0,183.1171112060547
109,2012,2.0,180.22923278808594
110,2012,3.0,239.41928100585938
111,2012,4.0,173.36813354492188
112,2012,5.0,246.41078186035156
113,2012,6.0,283.6890869140625
114,2012,7.0,142.36514282226562
115,2012,8.0,166.00540161132812
116,2012,9.0,152.3661651611328
117,2012,10.0,163.22943115234375
118,2012,11.0,141.8102569580078
119,2012,12.0,153.5653533935547
120,2013,1.0,133.1490020751953
121,2013,2.0,138.35072326660156
122,2013,3.0,155.18348693847656
123,2013,4.0,148.7508087158203
124,2013,5.0,122.28457641601562
125,2013,6.0,129.93832397460938
126,2013,7.0,130.02572631835938
127,2013,8.0,188.82957458496094
128,2013,9.0,160.81842041015625
129,2013,10.0,107.31888580322266
130,2013,11.0,79.37088775634766
131,2013,12.0,103.19481658935547
132,2014,1.0,95.17993927001953
133,2014,2.0,78.70988464355469
134,2014,3.0,66.12667083740234
135,2014,4.0,78.73886108398438
136,2014,5.0,88.94390106201172
137,2014,6.0,72.41730499267578
138,2014,7.0,104.40687561035156
139,2014,8.0,133.45057678222656
140,2014,9.0,115.3219985961914
141,2014,10.0,91.51668548583984
142,2014,11.0,119.68306732177734
143,2014,12.0,115.65457153320312
144,2015,1.0,120.23883819580078
145,2015,2.0,98.44914245605469
146,2015,3.0,53.43037033081055
147,2015,4.0,52.30805969238281
148,2015,5.0,63.050682067871094
149,2015,6.0,79.26368713378906
150,2015,7.0,50.5923957824707
151,2015,8.0,77.56551361083984
152,2015,9.0,85.25515747070312
153,2015,10.0,45.60044479370117
154,2015,11.0,47.6463737487793
155,2015,12.0,77.3212661743164
156,2016,1.0,70.27962493896484
157,2016,2.0,99.21338653564453
158,2016,3.0,92.20085906982422
159,2016,4.0,47.38800811767578
160,2016,5.0,53.01306915283203
161,2016,6.0,144.26609802246094
162,2016,7.0,78.06611633300781
163,2016,8.0,41.014217376708984
164,2016,9.0,32.88368606567383
165,2016,10.0,38.68679428100586
166,2016,11.0,72.80564880371094
167,2016,12.0,117.88623809814453
168,2017,1.0,84.12655639648438
169,2017,2.0,137.4004364013672
170,2017,3.0,65.6751937866211
171,2017,4.0,81.3338394165039
172,2017,5.0,39.26336669921875
173,2017,6.0,59.06988525390625
174,2017,7.0,62.02988052368164
175,2017,8.0,37.68947219848633
176,2017,9.0,78.03064727783203
177,2017,10.0,83.3947525024414
178,2017,11.0,62.91197967529297
179,2017,12.0,81.98847198486328
180,2018,1.0,39.42573928833008
181,2018,2.0,79.90937805175781
182,2018,3.0,42.035430908203125
183,2018,4.0,34.92319869995117
184,2018,5.0,37.556758880615234
185,2018,6.0,47.165748596191406
186,2018,7.0,63.24722671508789
187,2018,8.0,77.7150650024414
188,2018,9.0,63.50946044921875
189,2018,10.0,63.916053771972656
190,2018,11.0,68.80318450927734
191,2018,12.0,66.13168334960938
192,2019,1.0,64.73834991455078
193,2019,2.0,50.119773864746094
194,2019,3.0,40.58510208129883
195,2019,4.0,60.45342254638672
196,2019,5.0,83.6425552368164
197,2019,6.0,72.85343933105469
198,2019,7.0,70.45083618164062
199,2019,8.0,81.6747817993164
200,2019,9.0,105.54432678222656
201,2019,10.0,90.66387176513672
202,2019,11.0,50.364681243896484
203,2019,12.0,106.03553771972656
204,2020,1.0,48.135433197021484
205,2020,2.0,92.64915466308594
206,2020,3.0,110.09843444824219
207,2020,4.0,160.8216094970703
208,2020,5.0,167.75021362304688
209,2020,6.0,75.55362701416016
210,2020,7.0,112.20846557617188
211,"Source: 'Measuring Economic Policy Uncertainty' by Scott Baker, Nicholas Bloom and Steven J. Davis at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
