,Year,Month,News-Based Policy Uncertainty Index
0,1994,1.0,312.8876037597656
1,1994,2.0,229.42437744140625
2,1994,3.0,177.62762451171875
3,1994,4.0,100.25624084472656
4,1994,5.0,119.05428314208984
5,1994,6.0,139.9515380859375
6,1994,7.0,83.86353302001953
7,1994,8.0,82.39778900146484
8,1994,9.0,97.43924713134766
9,1994,10.0,88.98472595214844
10,1994,11.0,45.36542510986328
11,1994,12.0,70.38545989990234
12,1995,1.0,85.99311828613281
13,1995,2.0,170.02163696289062
14,1995,3.0,109.73279571533203
15,1995,4.0,228.19476318359375
16,1995,5.0,271.7930908203125
17,1995,6.0,178.89639282226562
18,1995,7.0,167.5427703857422
19,1995,8.0,207.60345458984375
20,1995,9.0,226.5756378173828
21,1995,10.0,200.45941162109375
22,1995,11.0,186.38507080078125
23,1995,12.0,231.3260498046875
24,1996,1.0,421.65447998046875
25,1996,2.0,151.1040496826172
26,1996,3.0,208.09312438964844
27,1996,4.0,261.9436950683594
28,1996,5.0,173.50311279296875
29,1996,6.0,221.42381286621094
30,1996,7.0,229.80027770996094
31,1996,8.0,206.9558868408203
32,1996,9.0,271.2508544921875
33,1996,10.0,182.88800048828125
34,1996,11.0,153.8631134033203
35,1996,12.0,290.2890625
36,1997,1.0,196.84461975097656
37,1997,2.0,116.49066925048828
38,1997,3.0,62.81001663208008
39,1997,4.0,110.090087890625
40,1997,5.0,197.98809814453125
41,1997,6.0,155.92526245117188
42,1997,7.0,74.80919647216797
43,1997,8.0,20.71302032470703
44,1997,9.0,20.92938232421875
45,1997,10.0,28.42041778564453
46,1997,11.0,50.00764083862305
47,1997,12.0,22.717002868652344
48,1998,1.0,61.169456481933594
49,1998,2.0,29.654260635375977
50,1998,3.0,47.479610443115234
51,1998,4.0,29.508682250976562
52,1998,5.0,34.8055534362793
53,1998,6.0,37.61526107788086
54,1998,7.0,69.81322479248047
55,1998,8.0,59.357330322265625
56,1998,9.0,239.3199005126953
57,1998,10.0,37.66239547729492
58,1998,11.0,22.180511474609375
59,1998,12.0,88.52604675292969
60,1999,1.0,73.6116714477539
61,1999,2.0,60.109188079833984
62,1999,3.0,18.03997039794922
63,1999,4.0,56.742469787597656
64,1999,5.0,106.0126724243164
65,1999,6.0,61.29420852661133
66,1999,7.0,95.1697006225586
67,1999,8.0,152.34043884277344
68,1999,9.0,18.92606544494629
69,1999,10.0,109.19017028808594
70,1999,11.0,29.150915145874023
71,1999,12.0,31.09632110595703
72,2000,1.0,117.12623596191406
73,2000,2.0,27.027511596679688
74,2000,3.0,27.272769927978516
75,2000,4.0,25.90913200378418
76,2000,5.0,42.9760627746582
77,2000,6.0,115.94142150878906
78,2000,7.0,15.776689529418945
79,2000,8.0,28.982250213623047
80,2000,9.0,101.02384185791016
81,2000,10.0,53.26467514038086
82,2000,11.0,55.502479553222656
83,2000,12.0,85.66629791259766
84,2001,1.0,72.2900619506836
85,2001,2.0,82.5999755859375
86,2001,3.0,48.358154296875
87,2001,4.0,36.21035385131836
88,2001,5.0,58.21712875366211
89,2001,6.0,26.456506729125977
90,2001,7.0,12.398759841918945
91,2001,8.0,35.793479919433594
92,2001,9.0,104.17536926269531
93,2001,10.0,55.45127868652344
94,2001,11.0,89.90690612792969
95,2001,12.0,55.70823669433594
96,2002,1.0,83.79533386230469
97,2002,2.0,13.269135475158691
98,2002,3.0,36.32706832885742
99,2002,4.0,68.06281280517578
100,2002,5.0,22.090843200683594
101,2002,6.0,75.04267883300781
102,2002,7.0,41.62685775756836
103,2002,8.0,33.1484489440918
104,2002,9.0,62.548583984375
105,2002,10.0,118.1590347290039
106,2002,11.0,98.44282531738281
107,2002,12.0,79.5997543334961
108,2003,1.0,68.20256042480469
109,2003,2.0,108.11004638671875
110,2003,3.0,87.96466064453125
111,2003,4.0,86.38860321044922
112,2003,5.0,95.07604217529297
113,2003,6.0,24.11118507385254
114,2003,7.0,70.33055877685547
115,2003,8.0,59.18588638305664
116,2003,9.0,62.6354866027832
117,2003,10.0,96.27272033691406
118,2003,11.0,107.18470764160156
119,2003,12.0,78.41303253173828
120,2004,1.0,124.42623901367188
121,2004,2.0,109.14510345458984
122,2004,3.0,77.4381103515625
123,2004,4.0,110.59647369384766
124,2004,5.0,88.85319519042969
125,2004,6.0,116.62628173828125
126,2004,7.0,75.10518646240234
127,2004,8.0,36.518341064453125
128,2004,9.0,64.54100036621094
129,2004,10.0,56.458221435546875
130,2004,11.0,39.24856948852539
131,2004,12.0,81.47636413574219
132,2005,1.0,175.24545288085938
133,2005,2.0,112.56401824951172
134,2005,3.0,107.5473403930664
135,2005,4.0,75.75196838378906
136,2005,5.0,32.715450286865234
137,2005,6.0,85.24398803710938
138,2005,7.0,26.123069763183594
139,2005,8.0,49.51333236694336
140,2005,9.0,138.844970703125
141,2005,10.0,141.33836364746094
142,2005,11.0,55.57432174682617
143,2005,12.0,96.36314392089844
144,2006,1.0,104.8241958618164
145,2006,2.0,79.35954284667969
146,2006,3.0,94.51129913330078
147,2006,4.0,162.16506958007812
148,2006,5.0,116.8075942993164
149,2006,6.0,91.2588882446289
150,2006,7.0,79.23003387451172
151,2006,8.0,101.62161254882812
152,2006,9.0,95.0235595703125
153,2006,10.0,128.9896697998047
154,2006,11.0,102.03369903564453
155,2006,12.0,58.930580139160156
156,2007,1.0,149.0618438720703
157,2007,2.0,106.78694152832031
158,2007,3.0,83.08111572265625
159,2007,4.0,154.73651123046875
160,2007,5.0,87.80557250976562
161,2007,6.0,86.86298370361328
162,2007,7.0,84.86002349853516
163,2007,8.0,39.61501693725586
164,2007,9.0,61.48648452758789
165,2007,10.0,85.83960723876953
166,2007,11.0,57.531761169433594
167,2007,12.0,125.64628601074219
168,2008,1.0,124.2658920288086
169,2008,2.0,143.63006591796875
170,2008,3.0,145.3533172607422
171,2008,4.0,145.44219970703125
172,2008,5.0,111.40499877929688
173,2008,6.0,103.02749633789062
174,2008,7.0,25.98754119873047
175,2008,8.0,85.45172882080078
176,2008,9.0,120.6571273803711
177,2008,10.0,199.23495483398438
178,2008,11.0,111.72711181640625
179,2008,12.0,143.16580200195312
180,2009,1.0,121.88999938964844
181,2009,2.0,57.714054107666016
182,2009,3.0,94.72406768798828
183,2009,4.0,92.3538818359375
184,2009,5.0,45.95503616333008
185,2009,6.0,122.24413299560547
186,2009,7.0,95.61376190185547
187,2009,8.0,94.16583251953125
188,2009,9.0,32.38641357421875
189,2009,10.0,67.62960052490234
190,2009,11.0,109.06280517578125
191,2009,12.0,130.10646057128906
192,2010,1.0,93.92060852050781
193,2010,2.0,146.21153259277344
194,2010,3.0,67.20616149902344
195,2010,4.0,71.5926513671875
196,2010,5.0,162.10675048828125
197,2010,6.0,123.89997100830078
198,2010,7.0,123.31895446777344
199,2010,8.0,161.87393188476562
200,2010,9.0,104.3562240600586
201,2010,10.0,83.02374267578125
202,2010,11.0,79.6675796508789
203,2010,12.0,122.25597381591797
204,2011,1.0,56.33475875854492
205,2011,2.0,75.13648223876953
206,2011,3.0,84.23371887207031
207,2011,4.0,111.90540313720703
208,2011,5.0,91.91007232666016
209,2011,6.0,92.58963012695312
210,2011,7.0,162.23802185058594
211,2011,8.0,191.06544494628906
212,2011,9.0,241.77581787109375
213,2011,10.0,158.83226013183594
214,2011,11.0,271.6360778808594
215,2011,12.0,151.12303161621094
216,2012,1.0,205.85337829589844
217,2012,2.0,194.12831115722656
218,2012,3.0,219.3765869140625
219,2012,4.0,128.83169555664062
220,2012,5.0,103.85138702392578
221,2012,6.0,98.41058349609375
222,2012,7.0,104.93922424316406
223,2012,8.0,78.06387329101562
224,2012,9.0,250.4549560546875
225,2012,10.0,169.32164001464844
226,2012,11.0,36.585018157958984
227,2012,12.0,156.4324951171875
228,2013,1.0,197.7275848388672
229,2013,2.0,151.24525451660156
230,2013,3.0,230.15643310546875
231,2013,4.0,167.34182739257812
232,2013,5.0,150.05859375
233,2013,6.0,192.28787231445312
234,2013,7.0,82.51089477539062
235,2013,8.0,207.55934143066406
236,2013,9.0,214.2166290283203
237,2013,10.0,153.68824768066406
238,2013,11.0,77.41041564941406
239,2013,12.0,206.56077575683594
240,2014,1.0,255.24072265625
241,2014,2.0,162.45726013183594
242,2014,3.0,123.98759460449219
243,2014,4.0,254.084716796875
244,2014,5.0,370.5062255859375
245,2014,6.0,143.52719116210938
246,2014,7.0,153.2280731201172
247,2014,8.0,246.01303100585938
248,2014,9.0,284.6849365234375
249,2014,10.0,161.58383178710938
250,2014,11.0,315.3268737792969
251,2014,12.0,321.74310302734375
252,2015,1.0,345.455078125
253,2015,2.0,298.5555725097656
254,2015,3.0,239.86106872558594
255,2015,4.0,222.4618377685547
256,2015,5.0,124.7078628540039
257,2015,6.0,161.08892822265625
258,2015,7.0,62.657249450683594
259,2015,8.0,180.0874481201172
260,2015,9.0,315.69952392578125
261,2015,10.0,174.17343139648438
262,2015,11.0,155.72328186035156
263,2015,12.0,195.30059814453125
264,2016,1.0,55.095497131347656
265,2016,2.0,190.3695526123047
266,2016,3.0,183.25970458984375
267,2016,4.0,135.03346252441406
268,2016,5.0,73.06627655029297
269,2016,6.0,249.32167053222656
270,2016,7.0,97.64324951171875
271,2016,8.0,313.0686950683594
272,2016,9.0,237.50038146972656
273,2016,10.0,113.41355895996094
274,2016,11.0,233.34312438964844
275,2016,12.0,323.7820739746094
276,2017,1.0,400.0167541503906
277,2017,2.0,227.8781280517578
278,2017,3.0,291.4149475097656
279,2017,4.0,143.63006591796875
280,2017,5.0,139.03436279296875
281,2017,6.0,107.03202819824219
282,2017,7.0,181.0517578125
283,2017,8.0,149.64942932128906
284,2017,9.0,101.00840759277344
285,2017,10.0,274.8133850097656
286,2017,11.0,250.4549560546875
287,2017,12.0,320.6600646972656
288,2018,1.0,72.88907623291016
289,2018,2.0,206.4594268798828
290,2018,3.0,87.8468246459961
291,2018,4.0,332.2618408203125
292,2018,5.0,217.15745544433594
293,2018,6.0,69.94087219238281
294,2018,7.0,120.5075912475586
295,2018,8.0,212.81773376464844
296,2018,9.0,289.822509765625
297,2018,10.0,247.70269775390625
298,2018,11.0,337.34747314453125
299,2018,12.0,175.41590881347656
300,2019,1.0,334.68365478515625
301,2019,2.0,125.48890686035156
302,2019,3.0,203.0715789794922
303,2019,4.0,223.4542236328125
304,2019,5.0,256.2510986328125
305,2019,6.0,308.5686950683594
306,2019,7.0,317.8851318359375
307,2019,8.0,185.52218627929688
308,2019,9.0,326.32568359375
309,2019,10.0,373.7358703613281
310,2019,11.0,431.2469482421875
311,2019,12.0,169.70408630371094
312,2020,1.0,346.3397216796875
313,2020,2.0,283.86865234375
314,2020,3.0,793.634521484375
315,2020,4.0,693.5675659179688
316,2020,5.0,680.4813842773438
317,2020,6.0,743.9255981445312
318,2020,7.0,483.3341064453125
319,"Source: 'Measuring Economic Policy Uncertainty' by Scott Baker, Nicholas Bloom and Steven J. Davis at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
