,year,month,China News-Based EPU
0,1995,1.0,192.9119110107422
1,1995,2.0,193.98785400390625
2,1995,3.0,88.22703552246094
3,1995,4.0,131.0347137451172
4,1995,5.0,177.09686279296875
5,1995,6.0,79.09623718261719
6,1995,7.0,61.732688903808594
7,1995,8.0,52.983123779296875
8,1995,9.0,76.82008361816406
9,1995,10.0,153.8712921142578
10,1995,11.0,100.0615005493164
11,1995,12.0,143.11668395996094
12,1996,1.0,128.42945861816406
13,1996,2.0,111.15818786621094
14,1996,3.0,69.440673828125
15,1996,4.0,63.35744094848633
16,1996,5.0,84.1733627319336
17,1996,6.0,36.838809967041016
18,1996,7.0,47.684810638427734
19,1996,8.0,55.95354461669922
20,1996,9.0,51.04103088378906
21,1996,10.0,53.6197624206543
22,1996,11.0,85.29986572265625
23,1996,12.0,69.18518829345703
24,1997,1.0,88.3237075805664
25,1997,2.0,115.34867858886719
26,1997,3.0,59.410587310791016
27,1997,4.0,123.27134704589844
28,1997,5.0,20.579830169677734
29,1997,6.0,62.72386932373047
30,1997,7.0,42.59028244018555
31,1997,8.0,27.126089096069336
32,1997,9.0,70.8626708984375
33,1997,10.0,83.15766143798828
34,1997,11.0,69.05574798583984
35,1997,12.0,20.722469329833984
36,1998,1.0,77.7058334350586
37,1998,2.0,98.68479919433594
38,1998,3.0,64.92120361328125
39,1998,4.0,19.439777374267578
40,1998,5.0,41.80421829223633
41,1998,6.0,68.2985610961914
42,1998,7.0,100.43605041503906
43,1998,8.0,38.225399017333984
44,1998,9.0,74.32969665527344
45,1998,10.0,128.11868286132812
46,1998,11.0,51.11582565307617
47,1998,12.0,69.6688232421875
48,1999,1.0,123.6696548461914
49,1999,2.0,98.32405090332031
50,1999,3.0,82.27812957763672
51,1999,4.0,16.56603240966797
52,1999,5.0,116.03939056396484
53,1999,6.0,101.52250671386719
54,1999,7.0,66.9092025756836
55,1999,8.0,39.80082321166992
56,1999,9.0,102.30252838134766
57,1999,10.0,78.27619934082031
58,1999,11.0,62.016963958740234
59,1999,12.0,36.9937858581543
60,2000,1.0,44.00444030761719
61,2000,2.0,9.0667085647583
62,2000,3.0,44.39913558959961
63,2000,4.0,35.44141387939453
64,2000,5.0,71.13580322265625
65,2000,6.0,36.85697555541992
66,2000,7.0,18.607404708862305
67,2000,8.0,27.140865325927734
68,2000,9.0,58.010047912597656
69,2000,10.0,70.60662841796875
70,2000,11.0,140.3679656982422
71,2000,12.0,112.6115951538086
72,2001,1.0,97.32544708251953
73,2001,2.0,65.1502456665039
74,2001,3.0,114.62845611572266
75,2001,4.0,107.18360137939453
76,2001,5.0,95.76116943359375
77,2001,6.0,54.47955322265625
78,2001,7.0,118.17539978027344
79,2001,8.0,131.47923278808594
80,2001,9.0,202.87771606445312
81,2001,10.0,297.2353515625
82,2001,11.0,128.78350830078125
83,2001,12.0,136.84719848632812
84,2002,1.0,159.89443969726562
85,2002,2.0,163.70115661621094
86,2002,3.0,140.20535278320312
87,2002,4.0,117.48548126220703
88,2002,5.0,33.760589599609375
89,2002,6.0,116.77750396728516
90,2002,7.0,88.06827545166016
91,2002,8.0,140.53097534179688
92,2002,9.0,188.888671875
93,2002,10.0,147.99453735351562
94,2002,11.0,109.75909423828125
95,2002,12.0,85.2096939086914
96,2003,1.0,141.76565551757812
97,2003,2.0,88.5965347290039
98,2003,3.0,184.7860107421875
99,2003,4.0,124.31019592285156
100,2003,5.0,102.0359115600586
101,2003,6.0,87.32002258300781
102,2003,7.0,92.37224578857422
103,2003,8.0,89.334228515625
104,2003,9.0,127.82127380371094
105,2003,10.0,106.51363372802734
106,2003,11.0,37.159305572509766
107,2003,12.0,97.13572692871094
108,2004,1.0,101.15840148925781
109,2004,2.0,46.903831481933594
110,2004,3.0,85.35299682617188
111,2004,4.0,43.165828704833984
112,2004,5.0,137.98719787597656
113,2004,6.0,59.12108612060547
114,2004,7.0,50.486961364746094
115,2004,8.0,88.03998565673828
116,2004,9.0,92.03104400634766
117,2004,10.0,107.50051879882812
118,2004,11.0,93.9905014038086
119,2004,12.0,96.87821197509766
120,2005,1.0,75.73043823242188
121,2005,2.0,32.59744644165039
122,2005,3.0,99.00125122070312
123,2005,4.0,50.36788558959961
124,2005,5.0,105.35016632080078
125,2005,6.0,42.972259521484375
126,2005,7.0,35.55521011352539
127,2005,8.0,92.99913787841797
128,2005,9.0,68.26113891601562
129,2005,10.0,32.72947692871094
130,2005,11.0,86.75798034667969
131,2005,12.0,57.220211029052734
132,2006,1.0,83.60843658447266
133,2006,2.0,64.71510314941406
134,2006,3.0,84.22509765625
135,2006,4.0,133.50469970703125
136,2006,5.0,66.02268981933594
137,2006,6.0,110.92434692382812
138,2006,7.0,42.70708465576172
139,2006,8.0,36.35945510864258
140,2006,9.0,71.51866149902344
141,2006,10.0,74.1251449584961
142,2006,11.0,43.895904541015625
143,2006,12.0,67.67839050292969
144,2007,1.0,80.17083740234375
145,2007,2.0,64.65911865234375
146,2007,3.0,70.07432556152344
147,2007,4.0,68.33134460449219
148,2007,5.0,47.791526794433594
149,2007,6.0,77.08946228027344
150,2007,7.0,136.7205810546875
151,2007,8.0,56.73624038696289
152,2007,9.0,90.57120513916016
153,2007,10.0,92.5426025390625
154,2007,11.0,108.428466796875
155,2007,12.0,93.8269271850586
156,2008,1.0,142.80523681640625
157,2008,2.0,157.7542724609375
158,2008,3.0,174.01171875
159,2008,4.0,145.51449584960938
160,2008,5.0,100.68357849121094
161,2008,6.0,157.01193237304688
162,2008,7.0,152.117919921875
163,2008,8.0,205.62844848632812
164,2008,9.0,298.38702392578125
165,2008,10.0,187.5682373046875
166,2008,11.0,194.23703002929688
167,2008,12.0,232.76638793945312
168,2009,1.0,223.546875
169,2009,2.0,170.97813415527344
170,2009,3.0,184.49575805664062
171,2009,4.0,152.913330078125
172,2009,5.0,91.16470336914062
173,2009,6.0,131.52880859375
174,2009,7.0,103.93191528320312
175,2009,8.0,92.43109130859375
176,2009,9.0,160.95164489746094
177,2009,10.0,75.7962646484375
178,2009,11.0,68.89027404785156
179,2009,12.0,74.85823059082031
180,2010,1.0,95.7820816040039
181,2010,2.0,103.44437408447266
182,2010,3.0,90.39569854736328
183,2010,4.0,46.74542999267578
184,2010,5.0,156.54861450195312
185,2010,6.0,130.0135040283203
186,2010,7.0,70.815673828125
187,2010,8.0,104.10298919677734
188,2010,9.0,121.59742736816406
189,2010,10.0,74.11595916748047
190,2010,11.0,82.42306518554688
191,2010,12.0,110.6732406616211
192,2011,1.0,172.68040466308594
193,2011,2.0,46.08258056640625
194,2011,3.0,131.2483673095703
195,2011,4.0,153.01113891601562
196,2011,5.0,26.144084930419922
197,2011,6.0,39.59001159667969
198,2011,7.0,207.39718627929688
199,2011,8.0,186.73147583007812
200,2011,9.0,158.05563354492188
201,2011,10.0,238.70960998535156
202,2011,11.0,363.5231018066406
203,2011,12.0,324.462646484375
204,2012,1.0,298.70263671875
205,2012,2.0,236.0895233154297
206,2012,3.0,242.72799682617188
207,2012,4.0,155.8289337158203
208,2012,5.0,216.251953125
209,2012,6.0,304.552734375
210,2012,7.0,301.5229187011719
211,2012,8.0,215.31752014160156
212,2012,9.0,161.97898864746094
213,2012,10.0,300.70208740234375
214,2012,11.0,306.3358459472656
215,2012,12.0,192.76840209960938
216,2013,1.0,208.5545196533203
217,2013,2.0,162.2560272216797
218,2013,3.0,83.76907348632812
219,2013,4.0,147.9531707763672
220,2013,5.0,82.95886993408203
221,2013,6.0,40.40321350097656
222,2013,7.0,115.46747589111328
223,2013,8.0,139.75953674316406
224,2013,9.0,69.79080200195312
225,2013,10.0,97.59776306152344
226,2013,11.0,81.0254135131836
227,2013,12.0,137.23245239257812
228,2014,1.0,103.44437408447266
229,2014,2.0,66.52954864501953
230,2014,3.0,134.94261169433594
231,2014,4.0,84.26825714111328
232,2014,5.0,80.76277160644531
233,2014,6.0,102.23165130615234
234,2014,7.0,127.48028564453125
235,2014,8.0,151.0019073486328
236,2014,9.0,185.76190185546875
237,2014,10.0,240.4953155517578
238,2014,11.0,112.73898315429688
239,2014,12.0,93.9609603881836
240,2015,1.0,232.21510314941406
241,2015,2.0,117.68367004394531
242,2015,3.0,82.09329223632812
243,2015,4.0,105.31835174560547
244,2015,5.0,127.55281066894531
245,2015,6.0,123.3431396484375
246,2015,7.0,268.7091979980469
247,2015,8.0,224.05859375
248,2015,9.0,393.2341003417969
249,2015,10.0,244.86795043945312
250,2015,11.0,104.74907684326172
251,2015,12.0,151.61448669433594
252,2016,1.0,261.94207763671875
253,2016,2.0,269.0191955566406
254,2016,3.0,323.1558532714844
255,2016,4.0,286.1773376464844
256,2016,5.0,260.2574768066406
257,2016,6.0,357.20880126953125
258,2016,7.0,558.22216796875
259,2016,8.0,288.78021240234375
260,2016,9.0,388.7496032714844
261,2016,10.0,261.8988952636719
262,2016,11.0,475.6709289550781
263,2016,12.0,646.9110107421875
264,2017,1.0,694.8494262695312
265,2017,2.0,464.5228271484375
266,2017,3.0,533.3043823242188
267,2017,4.0,322.3442687988281
268,2017,5.0,451.978515625
269,2017,6.0,328.5535888671875
270,2017,7.0,162.6932830810547
271,2017,8.0,265.25811767578125
272,2017,9.0,314.001220703125
273,2017,10.0,291.5835876464844
274,2017,11.0,268.0438537597656
275,2017,12.0,269.3547668457031
276,2018,1.0,122.9374008178711
277,2018,2.0,211.78018188476562
278,2018,3.0,245.5517120361328
279,2018,4.0,291.3069763183594
280,2018,5.0,374.10382080078125
281,2018,6.0,465.4168395996094
282,2018,7.0,561.0261840820312
283,2018,8.0,502.75372314453125
284,2018,9.0,516.4866333007812
285,2018,10.0,621.4263916015625
286,2018,11.0,677.53759765625
287,2018,12.0,935.310302734375
288,2019,1.0,654.962646484375
289,2019,2.0,720.1578979492188
290,2019,3.0,753.1077270507812
291,2019,4.0,502.550048828125
292,2019,5.0,759.0687255859375
293,2019,6.0,959.852294921875
294,2019,7.0,721.646728515625
295,2019,8.0,904.9383544921875
296,2019,9.0,933.8838500976562
297,2019,10.0,970.8298950195312
298,2019,11.0,726.591064453125
299,2019,12.0,894.895751953125
300,2020,1.0,755.2638549804688
301,2020,2.0,646.3675537109375
302,2020,3.0,734.6422729492188
303,2020,4.0,819.1759033203125
304,2020,5.0,934.717041015625
305,2020,6.0,843.6151733398438
306,2020,7.0,825.7005615234375
307,"Source: 'Economic Policy Uncertainty in China' by Scott Baker, Nicholas Bloom, Steven J. Davis and Sophie Wang (2013)  at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
